transect_id,x1,y1,x2,y2
172,16159805.495495496,-4592369.9999997,16159805.495495496,-4591170.0000003
173,16160429.9999997,-4591744.414414414,16159230.0000003,-4591744.414414414
174,16160459.9999997,-4591724.324324325,16159260.0000003,-4591724.324324325
175,16160489.9999997,-4591704.234234234,16159290.0000003,-4591704.234234234
176,16159915.855855856,-4592279.9999997,16159915.855855856,-4591080.0000003
177,16159965.945945946,-4592279.9999997,16159965.945945946,-4591080.0000003
178,16160016.036036037,-4592279.9999997,16160016.036036037,-4591080.0000003
179,16160639.9999997,-4591653.873873874,16159440.0000003,-4591653.873873874
180,16160086.216216216,-4592249.9999997,16160086.216216216,-4591050.0000003
181,16160106.306306306,-4592219.9999997,16160106.306306306,-4591020.0000003
182,16160156.396396397,-4592219.9999997,16160156.396396397,-4591020.0000003
183,16160789.9999997,-4591603.513513514,16159590.0000003,-4591603.513513514
184,16160819.9999997,-4591583.423423423,16159620.0000003,-4591583.423423423
185,16160819.9999997,-4591533.333333333,16159620.0000003,-4591533.333333333
186,16160266.756756756,-4592129.9999997,16160266.756756756,-4590930.0000003
187,16160316.846846847,-4592129.9999997,16160316.846846847,-4590930.0000003
188,16160366.936936937,-4592129.9999997,16160366.936936937,-4590930.0000003
189,16160387.027027028,-4592099.9999997,16160387.027027028,-4590900.0000003
190,16160437.117117116,-4592099.9999997,16160437.117117116,-4590900.0000003
191,16161059.9999997,-4591472.792792792,16159860.0000003,-4591472.792792792
192,16161089.9999997,-4591452.702702703,16159890.0000003,-4591452.702702703
193,16160527.387387387,-4592039.9999997,16160527.387387387,-4590840.0000003
194,16160577.477477478,-4592039.9999997,16160577.477477478,-4590840.0000003
195,16161179.9999997,-4591392.432432433,16159980.0000003,-4591392.432432433
196,16160010.0000003,-4591387.657657658,16161209.9999997,-4591387.657657658
197,16160010.0000003,-4591437.747747748,16161209.9999997,-4591437.747747748
198,16160627.837837838,-4592069.9999997,16160627.837837838,-4590870.0000003
199,16160647.927927928,-4592039.9999997,16160647.927927928,-4590840.0000003
200,16160698.018018018,-4592039.9999997,16160698.018018018,-4590840.0000003
201,16161329.9999997,-4591421.891891892,16160130.0000003,-4591421.891891892
202,16160160.0000003,-4591418.198198198,16161359.9999997,-4591418.198198198
203,16160160.0000003,-4591468.288288289,16161359.9999997,-4591468.288288289
204,16160741.621621622,-4590900.0000003,16160741.621621622,-4592099.9999997
205,16160130.0000003,-4591538.468468469,16161329.9999997,-4591538.468468469
206,16160701.441441441,-4590960.0000003,16160701.441441441,-4592159.9999997
207,16160100.0000003,-4591608.6486486485,16161299.9999997,-4591608.6486486485
208,16160070.0000003,-4591628.738738739,16161269.9999997,-4591628.738738739
209,16160070.0000003,-4591678.828828828,16161269.9999997,-4591678.828828828
210,16160070.0000003,-4591728.918918919,16161269.9999997,-4591728.918918919
211,16160660.99099099,-4591170.0000003,16160660.99099099,-4592369.9999997
212,16160040.0000003,-4591799.099099099,16161239.9999997,-4591799.099099099
213,16160040.0000003,-4591849.189189189,16161239.9999997,-4591849.189189189
214,16160630.720720721,-4591290.0000003,16160630.720720721,-4592489.9999997
215,16160024.825161675,-4591786.815953115,16161195.174838325,-4592051.922785623
216,16160560.54054054,-4591320.0000003,16160560.54054054,-4592519.9999997
217,16159950.0000003,-4591959.54954955,16161149.9999997,-4591959.54954955
218,16160265.055322785,-4591437.0273143975,16160775.665397935,-4592522.9726856025
219,16159920.0000003,-4592029.72972973,16161119.9999997,-4592029.72972973
220,16160529.81981982,-4592669.9999997,16160529.81981982,-4591470.0000003
221,16159950.0000003,-4592099.90990991,16161149.9999997,-4592099.90990991
222,16160570.0,-4592729.9999997,16160570.0,-4591530.0000003
223,16160620.09009009,-4592729.9999997,16160620.09009009,-4591530.0000003
224,16161162.773020094,-4592472.12779543,16160177.226979906,-4591787.51184421
225,16161269.9999997,-4592079.72972973,16160070.0000003,-4592079.72972973
226,16160680.36036036,-4592639.9999997,16160680.36036036,-4591440.0000003
227,16160730.45045045,-4592639.9999997,16160730.45045045,-4591440.0000003
228,16160780.54054054,-4592639.9999997,16160780.54054054,-4591440.0000003
229,16160830.630630631,-4592639.9999997,16160830.630630631,-4591440.0000003
230,16160880.720720721,-4592639.9999997,16160880.720720721,-4591440.0000003
231,16160930.81081081,-4592639.9999997,16160930.81081081,-4591440.0000003
232,16160340.0000003,-4592080.900900901,16161539.9999997,-4592080.900900901
233,16160970.99099099,-4592699.9999997,16160970.99099099,-4591500.0000003
234,16161021.081081081,-4592699.9999997,16161021.081081081,-4591500.0000003
235,16160460.0000003,-4592111.171171172,16161659.9999997,-4592111.171171172
236,16161091.261261262,-4592729.9999997,16161091.261261262,-4591530.0000003
237,16160520.0000003,-4592151.3513513515,16161719.9999997,-4592151.3513513515
238,16160520.0000003,-4592201.441441442,16161719.9999997,-4592201.441441442
239,16161151.531531531,-4592819.9999997,16161151.531531531,-4591620.0000003
240,16160580.0000003,-4592241.621621622,16161779.9999997,-4592241.621621622
241,16161191.711711712,-4592879.9999997,16161191.711711712,-4591680.0000003
242,16161241.801801803,-4592879.9999997,16161241.801801803,-4591680.0000003
243,16161869.9999997,-4592258.108108108,16160670.0000003,-4592258.108108108
244,16161869.9999997,-4592208.018018018,16160670.0000003,-4592208.018018018
245,16161267.927927928,-4591560.0000003,16161267.927927928,-4592759.9999997
246,16161217.837837838,-4591560.0000003,16161217.837837838,-4592759.9999997
247,16161197.747747747,-4591530.0000003,16161197.747747747,-4592729.9999997
248,16161779.9999997,-4592097.657657658,16160580.0000003,-4592097.657657658
249,16161202.432432432,-4592669.9999997,16161202.432432432,-4591470.0000003
250,16161839.9999997,-4592057.477477478,16160640.0000003,-4592057.477477478
251,16161242.612612613,-4592609.9999997,16161242.612612613,-4591410.0000003
252,16161292.702702703,-4592609.9999997,16161292.702702703,-4591410.0000003
253,16161899.9999997,-4591967.207207208,16160700.0000003,-4591967.207207208
254,16160730.0000003,-4591952.882882883,16161929.9999997,-4591952.882882883
255,16161352.972972972,-4592579.9999997,16161352.972972972,-4591380.0000003
256,16160790.0000003,-4591993.063063063,16161989.9999997,-4591993.063063063
257,16161423.153153153,-4592609.9999997,16161423.153153153,-4591410.0000003
258,16161473.243243244,-4592609.9999997,16161473.243243244,-4591410.0000003
259,16162079.9999997,-4591966.666666667,16160880.0000003,-4591966.666666667
260,16161483.423423423,-4592519.9999997,16161483.423423423,-4591320.0000003
